iata,name,country,continent,comment
CP,Compass Airlines,United States,North America,
CQ,Central Charter,Czech Republic,Europe,
CS,Continental Micronesia,United States,North America,
CU,Cubana de Aviación,Cuba,North America,
CV,Air Chathams,New Zealand,Oceania,
CW,Air Marshall Islands,Marshall Islands,Oceania,
CX,Cathay Pacific,Hong Kong,Asie,
CY,Cyprus Airways,Cyprus,Europe,
CZ,China Southern Airlines,China,Asie,
D0,DHL Air Limited,United Kingdom,Europe,
D2,Severstal Air Company,Russia,Europe,
D3,Daallo Airlines,Djibouti,Africa,
D4,Alidaunia,Italy,Europe,
D5,Dauair,Germany,Europe,
D6,Interair South Africa,South Africa,Africa,
D7,AirAsia X,Malaysia,Asie,
D8,Norwegian Air Sweden,Sweden,Europe,subsidiary of Norwegian Air Shuttle
D8*,Norwegian Air International,Ireland,Europe,subsidiary of Norwegian Air Shuttle
D9,Donavia,Russia,Europe,formerly Aeroflot-Don
DA,Air Georgia,Georgia,Europe,
DB,Brit Air,France,Europe,
DC,Golden Air,Sweden,Europe,
DD,Nok Air,Thailand,Asie,
DE,Condor Flugdienst,Germany,Europe,
DG,Cebgo,Philippines,Asie,"Formerly SEAir, South East Asian  Airlines and Tigerair Philippines"
DH,Discovery Airways,United States,North America,
DI,Norwegian Air UK,United Kingdom,Europe,subsidiary of Norwegian Air Shuttle (Ceased operations 2021)
DJ,AirAsia Japan,Japan,Asie,defunct
DK,Eastland Air,Australia,Oceania,
DL,Delta Air Lines,United States,North America,
DN,Norwegian Air Argentina,Argentina,South America,subsidiary of Norwegian Air Shuttle (Ceased operations 2019)
DO,Dominicana de Aviación,Dominican Republic,North America,defunct
DP,Air 2000,United Kingdom,Europe,defunct
DQ,Coastal Air,United States,North America,
DS,easyJet Switzerland,Switzerland,Europe,
DT,TAAG Angola Airlines,Angola,Africa,
DU,Norwegian Long Haul,Norway,Europe,subsidiary of Norwegian Air Shuttle (Ceased operations 2021)
DV,Nantucket Airlines,United States,North America,WAS 9k
DW,Aero-Charter Ukraine,Ukraine,Europe,
DX,DAT Danish Air Transport,Denmark,Europe,
DY,Norwegian Air Shuttle,Norway,Europe,
E0,Eos Airlines,United States,North America,
E1,Everbread,United Kingdom,Europe,
E2,Eurowings Europe,Austria,Europe,
E3,Domodedovo Airlines,Russia,Europe,defunct
E5,Samara Airlines,Russia,Europe,defunct
E6,Bringer Air Cargo Taxi Aéreo,Brazil,South America,
E7,Estafeta Carga Aérea,Mexico,North America,
E9,Air Memphis,Egypt,Africa,defunct
EA,Eastern Air Lines,United States,North America,defunct
EC,Avialeasing Aviation Company,Uzbekistan,Asie,
ED,AirExplore,Slovakia,Europe,
ED*,Airblue,Pakistan,Asie,
EG,Aer Lingus UK,United Kingdom,Europe,
EH,Air Nippon Network Co. Ltd.,Japan,Asie,merged into
EI,Aer Lingus,Ireland,Europe,
EJ,New England Airlines,United States,North America,
EK,Emirates Airlines,United Arab Emirates,Asie,
EL,Air Nippon,Japan,Asie,merged into
EM,Empire Airlines,United States,North America,
EN,Air Dolomiti,Italy,Europe,
EO,Hewa Bora Airways,Democratic Republic of the Congo,Africa,
EP,Iran Aseman Airlines,Iran,Asie,
EQ,TAME,Ecuador,South America,Transporte Aéreos Militares  Ecuatorianos
ES,DHL International,Bahrain,Asie,
ET,Ethiopian Airlines,Ethiopia,Africa,
EU,Empresa Ecuatoriana De Aviación,Ecuador,South America,
EV,Atlantic Southeast Airlines,United States,North America,Merged into
EW,Eurowings,Germany,Europe,
EX,Atlantic Airlines,United States,North America,
EY,Etihad Airways,United Arab Emirates,Asie,
EZ,Evergreen International Airlines,United States,North America,
F2,Fly Air,Turkey,Asie,
F3,Faso Airways,Burkina Faso,Africa,
F4,Albarka Air,Nigeria,Africa,
F5,Cosmic Air,Nepal,Asie,
F6,FaroeJet,Faroe Islands,Europe,
F7,Flybaboo,Switzerland,Europe,
F8,Flair Airlines,Canada,North America,
F9,Frontier Airlines,United States,North America,
FA,Safair,South Africa,Africa,
FB,Bulgaria Air,Bulgaria,Europe,
FC,Finncomm Airlines,Finland,Europe,
FD,Royal Flying Doctor Service,Australia,Oceania,
FE,Far Eastern Air Transport,Taiwan,Asie,
FF,Airshop,Netherlands,Europe,
FG,Ariana Afghan Airlines,Afghanistan,Asie,
FH,Freebird Airlines,Turkey,Asie,
FI,Icelandair,Iceland,Europe,
FJ,Fiji Airways,Fiji,Oceania,
FK,Africa West,Togo,Africa,
FL,Air Leap,Sweden,Europe,
FM,Shanghai Airlines,China,Asie,Part of
FN,Regional Air Lines,Morocco,Africa,
FO,Airlines of Tasmania,Australia,Oceania,
FP,Fly Pro,,Europe,
FR,Ryanair,Ireland,Europe,
FS,Flyr,Norway,Europe,
FT,FlyEgypt,,Europe,
FV,Pulkovo Aviation Enterprise,Russia,Europe,defunct merged into
FW,Ibex Airlines,Japan,Asie,
FX,FedEx Express,United States,North America,
FY,Firefly,Malaysia,Asie,
FZ,Flydubai,UAE,Asie,
G0,Ghana International Airlines,Ghana,Africa,
G1,Gorkha Airlines,Nepal,Asie,?ICAO
G2,Avirex,Gabon,Africa,
G3,City Connexion Airlines,Burundi,Africa,defunct
G4,Allegiant Air,United States,North America,
G5,China Express Airlines,China,Asie,
G6,Fly Arna,Armenia,Europe,
G7,Gandalf Airlines,Italy,Europe,
G8,Enkor,Russia,Europe,
G9,Air Arabia,United Arab Emirates,Asie,
GA,Garuda Indonesia,Indonesia,Asie,
GB,ABX Air,United States,North America,"August 15, 2003 Air operations of former"
GC,Gambia International Airlines,Gambia,Africa,
GD,Air Alpha Greenland,Denmark,Europe,sold to
GE,TransAsia Airways,Taiwan,Asie,defunct
GF,Gulf Air,Bahrain,Asie,
GG,Air Guyane,French Guiana,South America,
GH,Globus Airlines,Russia,Europe,
GI,Itek Air,Kyrgyzstan,Asie,?ICAO confirmed; IATA not
GJ,Eurofly,Italy,Europe,
GK,Go One Airways,United Kingdom,Europe,
GL,Air Greenland,Greenland,North America,
GM,Air Slovakia,Slovakia,Europe,ICAO code no longer allocated
GO,Kuzu Airlines Cargo,Turkey,Asie,
GP,APG Airlines,France,Europe,
GQ,Big Sky Airlines,United States,North America,
GR,Aurigny Air Services,United Kingdom,Europe,
GS,Tianjin  Airlines,China,Asie,
GT,GB Airways,United Kingdom,Europe,
GV,Grant Aviation,United States,North America,
GW,Costa Rica Green Airways,Costa Rica,North America,
GX,JetX Airlines,Iceland,Europe,
GY,Guyana Airways 2000,,Europe,
GZ,Air Rarotonga,Cook Islands,Oceania,
H1,Hooters Air,United States,North America,"The airline was established in 2003 and started operations on March 6, 2003. On April 17, 2006,"
H2,Sky Airline,Chile,South America,
H4,Héli Sécurité Helicopter Airlines,France,Europe,
H5,Hola Airlines,Spain,Europe,
H6,Hageland Aviation Services,United States,North America,
H7,Eagle Air,Uganda,Africa,
H8,Dalavia,Russia,Europe,
H9,Air d'Ayiti,Haiti,North America,
HA,Hawaiian Airlines,United States,North America,
HB,Greater Bay Airlines,Hong Kong,Asie,
HC,Air Senegal,Senegal,Africa,
HD,AIRDO,Japan,Asie,
HE,German Airways,Germany,Europe,Former name: Luftfahrtgesellschaft Walter
HF,Hapagfly,Germany,Europe,Became
HG,Niki,Austria,Europe,
HH,Hope Air,Canada,North America,
HJ,Hellas Jet,Greece,Europe,ceased operation in 2010
HK,Four Star Aviation,United States,North America,Virgin Islands
HM,Air Seychelles,Seychelles,Africa,
HN,Heavylift Cargo Airlines,Australia,Oceania,
HO,Juneyao Airlines,China,Asie,
HP,Hawaiian Pacific Airlines,United States,North America,defunct
HQ,Harmony Airways,Canada,North America,
HR,Hahn Air,Germany,Europe,
HU,Hainan Airlines,China,Asie,
HV,Transavia Holland,Netherlands,Europe,
HW,Hello,Switzerland,Europe,
HX,Hong Kong Airlines,Hong Kong,Asie,
HY,Uzbekistan Airways,Uzbekistan,Asie,
HZ,Sakhalinskie Aviatrassy,Russia,Europe,
I2,Iberia Express,Spain,Europe,"Charter service, low cost carrier for EU flights of Iberia operating only A320s"
I4,Island Air Express,United States,North America,2014
I5,AirAsia India,India,Asie,
I6,Sky Eyes,Thailand,Asie,
I7,IndiaOne Air,India,Asie,
I9,Indigo Airlines,United States,North America,
IA,Iraqi Airways,Iraq,Asie,
IB,Iberia Airlines,Spain,Europe,
IC,Indian Airlines,India,Asie,
ID,Batik Air,Indonesia,Asie,
IE,Solomon Airlines,Solomon Islands,Oceania,
IF,Islas Airways,Spain,Europe,
IG,Air Italy,Italy,Europe,merged into
IH,Falcon Aviation,Sweden,Europe,
II,IBC Airways,United States,North America,
IJ,Great Wall Airlines,China,Asie,
IK,Ikar,Russian Federation,Asie,
IM,Menajet,Lebanon,Asie,
IN,MAT Macedonian Airlines,Macedonia,Europe,Defunct
IO,Indonesian Airlines,Indonesia,Asie,
IP,Atyrau Air Ways,Kazakhstan,Asie,
IR,Iran Air,Iran,Asie,Was B9
IT,Kingfisher Airlines,India,Asie,
IV,Wind Jet,Italy,Europe,
IW,Wings Air,Indonesia,Asie,Subsidiary of
IX,Air India Express,India,Asie,
IY,Yemenia,Yemen,Asie,
IZ,Arkia Israel Airlines,Israel,Asie,
J2,Azerbaijan Airlines,Azerbaijan,Europe,
J3,Northwestern Air,Canada,North America,
J4,Buffalo Airways,Canada,North America,
J6,AVCOM,Russia,Europe,
J7,Centre-Avia,Russia,Europe,
J8,Berjaya Air,Malaysia,Asie,
J9,Guinee Airlines,Guinea,Africa,defunct
JA,B&H Airlines,Bosnia and Herzegovina,Europe,
JB,Helijet,Canada,North America,
JC,JAL Express,Japan,Asie,
JD,Beijing Capital Airlines,China,Asie,
JE,Mango,South Africa,Africa,
JF,Jet Asia Airways,Thailand,Asie,
JH,Fuji Dream Airlines,Japan,Asie,
JI,Jade Cargo International,China,Asie,
JJ,Aviogenex,Serbia,Europe,
JK,Spanair,Spain,Europe,defunct
JL,Japan Airlines,Japan,Asie,Japan Airlines International
JM,Air Jamaica,Jamaica,North America,merged into
JN,Excel Airways,United Kingdom,Europe,
JO,JALways,Japan,Asie,
JP,Adria Airways,Slovenia,Europe,
JQ,Jetstar,Australia,Oceania,
JR,Aero California,Mexico,North America,
JS,Air Koryo,Democratic People's Republic of Korea,Asie,
JT,Lion Air,Indonesia,Asie,
JU,Air Serbia,Serbia,Europe,Name changed from Aeroput to JAT Yugoslav Airlines to Jat Airways to Air Serbia. Formerly used JAT as ICAO code.
JV,Bearskin Lake Air Service,Canada,North America,
JW,Vanilla Air,Japan,Asie,
JX,Starlux Airlines,Taiwan,Asie,
JY,Air Turks and Caicos,Turks and Caicos Islands,North America,ICAO code no longer allocated
JZ,Skyways Express,Sweden,Europe,Ceased operations 2012; Operations continue as
K2,Eurolot,Poland,Europe,
K3,Taquan Air Services,United States,North America,
K4,Kalitta Air,United States,North America,"Operates B747-400's, B767-300ER's, B777F"
K5,SeaPort Airlines,United States,North America,Former airline:
K6,Angkor Air,Cambodia,Asie,
K8,Airlink Zambia,Zambia,Africa,Zambia Skyways Limited
K9,Kalitta Charters,United States,North America,"Operates Lear 25s, 35s, 36s Falcon 20s, CL601"
KB,Druk Air,Bhutan,Asie,
KC,Air Astana,Kazakhstan,Asie,
KD,Kalstar Aviation,Indonesia,Asie,
KE,Korean Air,South Korea,Asie,
KF,Blue1,Finland,Europe,
KG,Key Lime Air,United States,North America,
KH,Aloha Air Cargo,United States,North America,
KI,Air Atlantique,United Kingdom,Europe,Former name:
KJ,Asian Air,Kyrgyzstan,Asie,
KK,Atlasjet,Turkey,Asie,
KL,KLM,Netherlands,Europe,
KM,Air Malta,Malta,Europe,
KN,China United Airlines,China,Asie,
KO,Alaska Central Express,United States,North America,
KP,Kiwi International Air Lines,United States,North America,
KQ,Kenya Airways,Kenya,Africa,
KR,Cambodia Airways,Cambodia,Asie,
KS,Peninsula Airways,United States,North America,
KU,Kuwait Airways,Kuwait,Asie,
KV,Kavminvodyavia,Russia,Europe,
KW,Kharkiv Airlines,Ukraine,Europe,
KX,Cayman Airways,Cayman Islands,North America,
KZ,Nippon Cargo Airlines,Japan,Asie,
L1,Lufthansa Systems,Germany,Europe,
L2,Lynden Air Cargo,United States,North America,
L3,DHL de Guatemala,Guatemala,North America,
L4,Lynx Aviation,United States,North America,Part of
L5,Línea Aérea Cuencana,Ecuador,South America,
L6,Tbilaviamsheni,Georgia,Europe,
L7,Laoag International Airlines,Philippines,Asie,
L8,Air Luxor GB,Guinea-Bissau,Africa,
L9,Belle Air Europe,Italy,Europe,Previously
LA,LATAM Chile,Chile,South America,
LB,Air Costa,India,Asie,
LC,Varig Logística,Brazil,South America,defunct
LD,Air Hong Kong,Hong Kong,Asie,
LF,Contour Airlines,United States,North America,
LG,Luxair,Luxembourg,Europe,
LH,Lufthansa,Germany,Europe,
LI,Leeward Islands Air Transport,Antigua and Barbuda,North America,
LJ,Jin Air,South Korea,Asie,
LK,Air Luxor,Portugal,Europe,ICAO code no longer allocated
LL,Miami Air International,United States,North America,"Previous IATA Code ""GL"""
LM,Livingston Energy Flight,Italy,Europe,
LN,Libyan Arab Airlines,Libya,Africa,
LO,LOT Polish Airlines,Poland,Europe,"""POLLOT"" is not used in practice. ""LOT"" is used in almost all cases."
LP,LATAM Peru,Peru,South America,
LQ,Lebanese Air Transport,Lebanon,Asie,
LR,LACSA,Costa Rica,North America,
LS,Jet2.com,United Kingdom,Europe,
LT,LTU International,Germany,Europe,
LU,LATAM Express,Chile,South America,
LV,Albanian Airlines,Albania,Europe,
LW,Pacific Wings,United States,North America,
LX,Swiss International Air Lines,Switzerland,Europe,
LY,El Al Israel Airlines,Israel,Asie,
LZ,Balkan Bulgarian Airlines,Bulgaria,Europe,defunct
M2,Mahfooz Aviation,Gambia,Africa,
M3,Air Service,Macedonia,Europe,
M4,Mistral Air,Italy,Europe,renamed
M5,Kenmore Air,United States,North America,
M6,Amerijet International,United States,North America,
M7,MasAir,Mexico,North America,
M9,Motor Sich,Ukraine,Europe,
MA,Malév Hungarian Airlines,Hungary,Europe,defunct
MB,Execair Aviation,Canada,North America,
MC,Air Mobility Command,United States,North America,
MD,Air Madagascar,Madagascar,Africa,
ME,Middle East Airlines,Lebanon,Asie,
MF,Xiamen Airlines,China,Asie,
MG,Champion Air,United States,North America,
MH,MASwings,Malaysia,Asie,
MI,SilkAir,Singapore,Asie,
MJ,Líneas Aéreas Privadas Argentinas,Argentina,South America,defunct
MK,Air Mauritius,Mauritius,Africa,
ML,African Transport Trading and Investment Company,Sudan,Africa,
MM,EuroAtlantic Airways,Portugal,Europe,
MN,Comair,South Africa,Africa,
MO,Calm Air,Canada,North America,
MP,Martinair,Netherlands,Europe,
MQ,American Eagle Airlines,United States,North America,Renamed
MR,Air Mauritanie,Mauritania,Africa,
MS,Egyptair,Egypt,Africa,
MT,JMC Airlines,United Kingdom,Europe,
MU,China Eastern Airlines,China,Asie,
MW,Maya Island Air,Belize,North America,
MX,Breeze Airways,United States,North America,
MY,Midwest Airlines (Egypt),Egypt,Africa,
MZ,Merpati Nusantara Airlines,Indonesia,Asie,
N/A,North Coast Air Services Ltd,Canada,North America,
N0,Norse Atlantic Airways,Norway,Europe,
N2,Dagestan Airlines,Russia,Europe,
N4,Mountain Air Company,Sierra Leone,Africa,
N5,Kyrgyz Airlines,Kyrgyzstan,Asie,
N6,Lagun Air,Spain,Europe,
N7,National Airlines,United States,North America,defunct
N8,Fika Salaama Airlines,Uganda,Africa,
N9,North Coast Aviation,Papua New Guinea,Oceania,
NA,National Airlines,United States,North America,defunct
NB,Sterling Airlines,Denmark,Europe,
NC,National Jet Systems,Australia,Oceania,
NE,SkyEurope,Slovakia,Europe,defunct
NF,Air Vanuatu,Vanuatu,Oceania,
NG,Lauda Air,Austria,Europe,
NH,All Nippon Airways,Japan,Asie,
NI,LANICA,Nicaragua,North America,
NK,Spirit Airlines,United States,North America,
NL,Shaheen Air,Pakistan,Asie,
NM,Mount Cook Airline,New Zealand,Oceania,
NN,VIM Airlines,Russia,Europe,
NO,Neos,Italy,Europe,
NQ,Air Japan,Japan,Asie,
NR,Pamir Airways,Afghanistan,Asie,
NT,Binter Canarias,Spain,Europe,
NU,Japan Transocean Air,Japan,Asie,
NW,Northwest Airlines,United States,North America,defunct
NX,Air Macau,Macao,Asie,
NY,Air Iceland,Iceland,Europe,
NZ,Air New Zealand,New Zealand,Oceania,"""NZ"" used by"
O2,OLT Express,Poland,Europe,"defunct, funded by acquisition of Jet Air and YES Airways"
O3,SF Airlines,China,Asie,
O4,Antrak Air,Ghana,Africa,
O6,Avianca Brasil,Brazil,South America,Owned by
O7,OzJet,Australia,Oceania,
O9,Nova Airline,Sudan,Africa,
OA,Olympic Air,Greece,Europe,
OB,Boliviana de Aviación,Bolivia,South America,
OD,Malindo Airways,Malaysia,Asie,
OE,Asia Overnight Express,Philippines,Asie,
OF,Air Finland,Finland,Europe,
OH,Comair,United States,North America,
OJ,Fly Jamaica Airways,Jamaica,North America,defunct
OK,Czech Airlines,Czech Republic,Europe,
OL,OLT Express Germany,Germany,Europe,
OM,MIAT Mongolian Airlines,Mongolia,Asie,
ON,Our Airline,Nauru,Oceania,formerly
OO,SkyWest Airlines,United States,North America,
OP,Chalk's International Airlines,United States,North America,
OQ,Chongqing Airlines,China,Asie,
OR,TUI fly Netherlands,Netherlands,Europe,
OS,Austrian Airlines,Austria,Europe,
OT,Aeropelican Air Services,Australia,Oceania,
OU,Croatia Airlines,Croatia,Europe,
