iata,name,country,continent,comment
T4,TRIP Linhas Aéreas,Brazil,South America,IATA code 8R changed to T4  (2010)
T5,Turkmenistan Airlines,Turkmenistan,Asie,
T6,Tavrey  Airlines,Ukraine,Europe,
T7,Twin Jet,France,Europe,
T9,Thai Star Airlines,Thailand,Asie,
TB,TUI  fly Belgium,Belgium,Europe,
TC,Air Tanzania,Tanzania,Africa,
TD,Atlantis European Airways,Armenia,Europe,
TE,FlyLal,Lithuania,Europe,defunct
TF,Malmö Aviation,Sweden,Europe,
TG,Thai Airways International,Thailand,Asie,
TH,BA Connect,United Kingdom,Europe,defunct
TI,Tailwind Airlines,Turkey,Asie,
TJ,Tradewind Aviation,United States,North America,
TK,Turkish  Airlines,Turkey,Asie,
TL,Airnorth,Australia,Oceania,
TM,Linhas Aéreas de Moçambique,Mozambique,Africa,
TN,Air Tahiti Nui,France,Europe,
TO,President Airlines,Cambodia,Asie,
TP,TAP  Portugal,Portugal,Europe,
TQ,Tandem  Aero,Moldova,Europe,
TR,Scoot,Singapore,Asie,
TS,Air Transat,Canada,North America,
TT,Tigerair Australia,Australia,Oceania,"Previously TGW, callsign GO CAT"
TU,Tunisair,Tunisia,Africa,
TV,Virgin Express,Belgium,Europe,defunct
TW,Trans World Airlines,United States,North America,
TX,Air Caraïbes,France,Europe,
TXZ,Thai Express Air,Thailand,Asie,
TY,Air Calédonie,France,Europe,
TZ,Tsaradia,Madagascar,Africa,
U2,easyJet UK,United Kingdom,Europe,
U3,Avies,Estonia,Europe,
U4,Buddha Air,Nepal,Asie,
U5,USA3000 Airlines,United States,North America,
U6,Ural Airlines,Russia,Europe,
U7,Air Uganda,Uganda,Africa,
U8,Tel Aviv Air,Germany,Europe,defunct
UA,United Airlines,United States,North America,
UB,Myanma Airways,Myanmar,Asie,
UC,LATAM Cargo Chile,Chile,South America,
UD,Hex'Air,France,Europe,
UE,Nasair,Eritrea,Africa,
UF,UM Airlines,Ukraine,Europe,Ukraine Mediterranean Airlines
UG,SevenAir,United States,North America,
UH,Bristow Helicopters,United Kingdom,Europe,
UI,Eurocypria Airlines,Cyprus,Europe,
UJ,AlMasria Universal Airlines,Egypt,Africa,
UK,Vistara,India,Asie,Commenced operations 9 January 2015
UL,SriLankan Airlines,Sri Lanka,Asie,
UM,Air Zimbabwe,Zimbabwe,Africa,
UN,Transaero Airlines,Russia,Europe,
UO,Hong Kong Express Airways,Hong Kong,Asie,
UP,Bahamasair,Bahamas,North America,
UR,Uganda Airlines,Uganda,Africa,Started operations in 2019
US,US Airways,United States,North America,"defunct, merged with"
UT,UTair Aviation,Russia,Europe,WAS P2 till 2006
UU,Air Austral,France,Europe,
UX,Air Europa,Spain,Europe,
UZ,El-Buraq Air Transport,Libya,Africa,
V0,Conviasa,Venezuela,South America,
V2,Karat,Russia,Europe,
V3,Carpatair,Romania,Europe,
V4,Reem Air,Kyrgyzstan,Asie,
V5,DanubeWings,Slovakia,Europe,Former names VIP Air and VIP Wings
V7,Volotea,Spain,Europe,
V8,ATRAN Cargo Airlines,Russian Federation,Asie,
V9,BAL Bashkirian Airlines,Russia,Europe,
VA,Virgin Australia Regional Airlines,Australia,Oceania,
VB,Aeroenlaces Nacionales,Mexico,North America,Former ICAO code: AEN
VC,Ocean Airlines,Italy,Europe,
VD,Kunpeng Airlines,China,Asie,
VE,C.A.I. Second,Italy,Europe,
VF,Valuair,Singapore,Asie,
VG,VLM Airlines,Belgium,Europe,defunct
VH,Aeropostal Alas de Venezuela,Venezuela,South America,
VI,Volga-Dnepr Airlines,Russia,Europe,
VJ,Africa Airways,Benin,Africa,defunct
VK,FlyViking,,Europe,defunct
VL,Air VIA,Bulgaria,Europe,
VM,His Majesty King Maha Vajiralongkorn,Thailand,Asie,"holding airline, renamed on his accession"
VN,Vietnam Airlines,Vietnam,Asie,
VO,Tyrolean  Airways,Austria,Europe,Renamed from Austrian Arrows
VP,Indochina Airlines,Vietnam,Asie,defunct
VQ,Novo Air,Bangladesh,Asie,
VR,TACV,Cape Verde,Africa,
VS,Virgin Atlantic,United Kingdom,Europe,
VT,Air Tahiti,French Polynesia,Oceania,
VU,Vietravel Airlines,Vietnam,Asie,
VW,Aeromar,Mexico,North America,
VX,Virgin America,United States,North America,
VY,Vueling Airlines,Spain,Europe,
VZ,Thai  Vietjet Air,Thailand,Asie,
W2,Canadian Western Airlines,Canada,North America,
W3,Flyhy Cargo Airlines,Thailand,Asie,
W5,Mahan Air,Iran,Asie,
W6,Wizz Air,Hungary,Europe,
W7,Sayakhat Airlines,Kazakhstan,Asie,
W8,Cargojet Airways,Canada,North America,
W9,Abelag Aviation,Belgium,Europe,defunct
WA,KLM Cityhopper,Netherlands,Europe,
WB,Rwandair Express,Rwanda,Africa,
WC,Islena De Inversiones,Honduras,North America,
WD,DAS Air Cargo,Uganda,Africa,
WD*,Amsterdam Airlines,Netherlands,Europe,Former IATA code: FH*. ICAO code and call sign no longer allocated
WE,Centurion Air Cargo,United States,North America,
WF,Widerøe,Norway,Europe,
WG,Sunwing Airlines,Canada,North America,
WH,WebJet Linhas Aéreas,Brazil,South America,
WI,Aero Air,United States,North America,
WK,Edelweiss Air,Switzerland,Europe,
WL,Air Wales Virtual,United Kingdom,Europe,
WN,Southwest Airlines,United States,North America,
WO,Swoop,Canada,North America,
WP,Air Antwerp,Belgium,Europe,defunct
WQ,Swift Air,United States,North America,
WR,Royal Tongan Airlines,Tonga,Oceania,
WS,WestJet,Canada,North America,
WT,Wasaya Airways,Canada,North America,
WV,Swe Fly,Sweden,Europe,
WW,Bmibaby,United Kingdom,Europe,Ceased operations
WX,CityJet,Ireland,Europe,
WY,Oman Air,Oman,Asie,
WZ,West African Airlines,Benin,Africa,
X3,Hapag-Lloyd Express,Germany,Europe,Became
X7,Chitaavia,Russia,Europe,
X9,Avion Express,Lithuania,Europe,Name changed from Nordic Solutions Air
XC,Corendon Airlines,Turkey,Asie,Turistik Hava Tasimacilik
XE,JSX (airline),United States,North America,
XF,Vladivostok Air,Russia,Europe,
XG,Clickair,Spain,Europe,Merge into
XJ,Mesaba Airlines,United States,North America,
XK,Corse Méditerranée,France,Europe,Name changed to
XL,Aerolane,Ecuador,South America,Líneas Aéreas Nacionales Del Ecuador
XM,Australian airExpress,Australia,Oceania,
XN,XpressAir,Indonesia,Asie,Renamed from Travel Express  Aviation Services in 2012
XO,China Xinhua Airlines,China,Asie,
XP,Avelo Airlines,United States,North America,"Former ICAO code: CXP; former names: Casino Express Airlines, Xtra Airways"
XQ,SunExpress,Turkey,Asie,
XS,SITA,Belgium,Europe,
XT,SkyStar Airways,Thailand,Asie,
XW,NokScoot,Thailand,Asie,
XY,Flynas,Saudi Arabia,Asie,
Y0,Yellow Air Taxi/Friendship Airways,United States,North America,
Y2,Flyglobespan,United Kingdom,Europe,defunct
Y4,Volaris,Mexico,North America,
Y5,Golden Myanmar Airlines,Myanmar,Asie,
Y6,Batavia Air,Indonesia,Asie,"As of June 1, 2010, IATA code changed to Y6."
Y7,NordStar,Russia,Europe,
Y8,Suparna Airlines,China,Asie,Former name: Yangtze River Express
Y9,Kish Air,Iran,Asie,
YB,Borajet,Turkey,Asie,
YE,Aryan Cargo Express,India,Asie,
YI,Air Sunshine,United States,North America,
YK,Cyprus Turkish Airlines,Turkey,Asie,Ceased operations 2010
YL,Yamal Airlines,Russia,Europe,
YM,Montenegro Airlines,Montenegro,Europe,"former callsign was ""MONTAIR"""
YQ,TAR Aerolineas,Mexico,North America,
YS,Régional,France,Europe,
YT,Yeti Airlines,Nepal,Asie,Domestic
YV,Mesa Airlines,United States,North America,
YW,Air Nostrum,Spain,Europe,
YX,Midwest Airlines,United States,North America,
Z2,Philippines AirAsia,Philippines,Asie,
Z3,Avient Aviation,Zimbabwe,Africa,
Z4,Zoom Airlines,Canada,North America,"defunct, ICAO Code and callsign no longer allocated"
Z5,GMG Airlines,Bangladesh,Asie,
Z6,Dniproavia,Ukraine,Europe,
Z8,Línea Aérea Amaszonas,Bolivia,South America,
Z9,MYAirline,Malaysia,Asie,Yet to operate. Planned to operate scheduled services in Q4 of 2022.
ZA,Interavia Airlines,Russia,Europe,
ZB,Air Albania,Albania,Europe,
ZD,Ewa Air,France,Europe,
ZE,Arcus-Air Logistic,Germany,Europe,
ZG,Viva Macau,Macao,Asie,defunct
ZH,Shenzhen Airlines,China,Asie,
ZI,Aigle Azur,France,Europe,Former name:
ZK,Great Lakes Airlines,United States,North America,
ZL,Regional Express,Australia,Oceania,
ZN,Key Airlines,United States,North America,
ZP,Amaszonas Paraguay,Paraguay,South America,
ZQ,Air Montenegro,Montenegro,Europe,
ZS,Sama Airlines,Saudi Arabia,Asie,
ZT,Titan Airways,United Kingdom,Europe,
ZU,Helios Airways,Cyprus,Europe,
ZV,Air Midwest,United States,North America,defunct
ZW,Air Wisconsin,United States,North America,
ZX,Air Georgian,Canada,North America,
ZY,Sky Airlines,Turkey,Asie,
