iata,name,city,country,continent,timezone
DEF,Dezful Airport,Dezful,Iran,Asia,UTC+03:30
DEH,Decorah Municipal Airport,Decorah,United States,North America,UTC−06:00
DEI,Denis Island Airport,Denis Island,Seychelles,Africa,UTC+04:00
DEL,Indira Gandhi International Airport,Delhi,India,Asia,UTC+05:30
DEM,Dembidolo Airport,Dembidolo,Ethiopia,Africa,UTC+03:00
DEN,Denver International Airport,Denver,United States,North America,UTC−07:00
DEP,Daporijo Airport,Daporijo,India,Asia,UTC+05:30
DEQ,Deqing Moganshan Airport,Deqing,China,Asia,UTC+08:00
DER,Derim Airport,Derim,Papua New Guinea,Oceania,UTC+10:00
DES,Desroches Airport,Desroches Island,Seychelles,Africa,UTC+04:00
DET,Coleman A. Young International Airport,Detroit,United States,North America,UTC−05:00
DEX,Nop Goliat Dekai Airport,Yahukimo,Indonesia,Asia,UTC+09:00
DEZ,Deir ez-Zor Airport,Deir ez-Zor,Syria,Asia,UTC+02:00
DFI,Defiance Memorial Airport,Defiance,United States,North America,UTC−05:00
DFP,Drumduff Airport,Drumduff,Australia,Oceania,UTC+10:00
DFW,Dallas/Fort Worth International Airport,Dallas,United States,North America,UTC−06:00
DGA,Dangriga Airport,Dangriga,Belize,North America,UTC−06:00
DGC,Degeh Bur Airport,Degeh Bur,Ethiopia,Africa,UTC+03:00
DGD,Dalgaranga Airport,Dalgaranga Gold Mine,Australia,Oceania,UTC+08:00
DGE,Mudgee Airport,Mudgee,Australia,Oceania,UTC+10:00
DGF,Douglas Lake Airport,Douglas Lake,Canada,North America,UTC−08:00
DGH,Deoghar Airport,Deoghar,India,Asia,
DGK,Dugong Beach Lodge Airstrip,Dugong Beach Lodge,Mozambique,Africa,UTC+02:00
DGL,Douglas Municipal Airport,Douglas,United States,North America,UTC−07:00
DGM,Dandugama Seaplane Base,Colombo,Sri Lanka,Asia,UTC+05:30
DGN,Naval Surface Warfare Center Dahlgren Division,Dahlgren,United States,North America,UTC−05:00
DGO,General Guadalupe Victoria International Airport,Durango,Mexico,North America,UTC−06:00
DGP,Daugavpils International Airport,Daugavpils,Latvia,Europe,UTC+02:00
DGR,Dargaville Aerodrome,Dargaville,New Zealand,Oceania,UTC+12:00
DGT,Sibulan Airport,Dumaguete,Philippines,Asia,UTC+08:00
DGU,Dédougou Airport,Dédougou,Burkina Faso,Africa,UTC±00:00
DGW,Converse County Airport,Douglas,United States,North America,UTC−07:00
DHA,King Abdulaziz Air Base,Dhahran,Saudi Arabia,Asia,UTC+03:00
DHB,Deer Harbor Sea Plane Base,Deer Harbor,United States,North America,UTC−08:00
DHD,Durham Downs Airport,Durham Downs,Australia,Oceania,UTC+10:00
DHF,Al Dhafra Air Base,Abu Dhabi,United Arab Emirates,Asia,UTC+04:00
