iata,name,city,country,continent,timezone
AAA,Anaa Airport,Anaa,French Polynesia,Oceania,UTC−10:00
AAB,Arrabury Airport,Arrabury,Australia,Oceania,UTC+10:00
AAC,El Arish International Airport,El Arish,Egypt,Africa,UTC+02:00
AAD,Adado Airport,Adado,Somalia,Africa,UTC+03:00
AAE,Rabah Bitat Airport,Annaba,Algeria,Africa,UTC+01:00
AAF,Apalachicola Regional Airport,Apalachicola,United States,North America,UTC−05:00
AAG,Arapoti Airport,Arapoti,Brazil,South America,UTC−03:00
AAH,Merzbrück Airport,Aachen,Germany,Europe,UTC+01:00
AAI,Arraias Airport,Arraias,Brazil,South America,UTC−03:00
AAJ,Cayana Airstrip,Awaradam,Suriname,South America,UTC−03:00
AAK,Aranuka Airport,Aranuka,Kiribati,Oceania,UTC+12:00
AAL,Aalborg Airport,Aalborg,Denmark,Europe,UTC+01:00
AAM,Mala Mala Airport,Mala Mala,South Africa,Africa,UTC+02:00
AAN,Al Ain International Airport,Al Ain,United Arab Emirates,Asia,UTC+04:00
AAO,Anaco Airport,Anaco,Venezuela,South America,UTC−04:00
AAP,Aji Pangeran Tumenggung Pranoto International Airport,Samarinda,Indonesia,Asia,UTC+08:00
AAQ,Anapa Airport,Anapa,Russia,Europe,UTC+03:00
AAR,Aarhus Airport,Aarhus,Denmark,Europe,UTC+01:00
AAS,Apalapsili Airport,Apalapsili,Indonesia,Asia,UTC+09:00
AAT,Altay Airport,Altay,China,Asia,UTC+08:00
AAU,Asau Airport,Asau,Samoa,Oceania,UTC+13:00
AAV,Allah Valley Airport,Surallah,Philippines,Asia,UTC+08:00
AAX,Araxá Airport,Araxá,Brazil,South America,UTC−03:00
AAY,Al Ghaydah Airport,Al Ghaydah,Yemen,Asia,UTC+03:00
AAZ,Quetzaltenango Airport,Quetzaltenango,Guatemala,North America,UTC−06:00
ABA,Abakan International Airport,Abakan,Russia,Asia,UTC+07:00
ABB,Asaba International Airport,Asaba,Nigeria,Africa,UTC+01:00
ABC,Albacete Airport,Albacete,Spain,Europe,UTC+01:00
ABD,Abadan International Airport,Abadan,Iran,Asia,UTC+03:30
ABE,Lehigh Valley International Airport,Allentown,United States,North America,UTC−05:00
ABF,Abaiang Atoll Airport,Abaiang,Kiribati,Oceania,UTC+12:00
ABG,Abingdon Airport,Abingdon Downs,Australia,Oceania,UTC+10:00
ABH,Alpha Airport,Alpha,Australia,Oceania,UTC+10:00
ABI,Abilene Regional Airport,Abilene,United States,North America,UTC−06:00
ABJ,Port Bouet Airport,Abidjan,Côte d'Ivoire,Africa,UTC+00:00
ABK,Kabri Dar Airport,Kebri Dahar,Ethiopia,Africa,UTC+03:00
ABL,Ambler Airport,Ambler,United States,North America,UTC−09:00
ABM,Northern Peninsula Airport,Bamaga,Australia,Oceania,UTC+10:00
ABN,Albina Airstrip,Albina,Suriname,South America,UTC−03:00
ABO,Aboisso Airport,Aboisso,Côte d'Ivoire,Africa,UTC+00:00
ABP,Atkamba Airport,Atkamba,Papua New Guinea,Oceania,UTC+10:00
ABQ,Albuquerque International Sunport,Albuquerque,United States,North America,UTC−07:00
ABR,Aberdeen Regional Airport,Aberdeen,United States,North America,UTC−06:00
ABS,Abu Simbel Airport,Abu Simbel,Egypt,Africa,UTC+02:00
ABT,Al-Baha Domestic Airport,Al Bahah,Saudi Arabia,Asia,UTC+03:00
ABU,Haliwen Airport,Atambua,Indonesia,Asia,UTC+08:00
ABV,Nnamdi Azikiwe International Airport,Abuja,Nigeria,Africa,UTC+01:00
ABW,Abau Airport,Abau,Papua New Guinea,Oceania,UTC+10:00
ABX,Albury Airport,Albury,Australia,Oceania,UTC+10:00
ABY,Southwest Georgia Regional Airport,Albany,United States,North America,UTC−05:00
ABZ,Aberdeen Airport,Aberdeen,United Kingdom,Europe,UTC+00:00
ACA,General Juan N. Álvarez International Airport,Acapulco,Mexico,North America,UTC−06:00
ACB,Antrim County Airport,Bellaire,United States,North America,UTC−05:00
ACC,Kotoka International Airport,Accra,Ghana,Africa,UTC+00:00
ACD,Alcides Fernández Airport,Acandí,Colombia,South America,UTC−05:00
ACE,Lanzarote Airport,Lanzarote,Spain,Europe,UTC+00:00
ACH,St. Gallen–Altenrhein Airport,Altenrhein,Switzerland,Europe,UTC+01:00
ACI,Alderney Airport,Alderney,United Kingdom,Europe,UTC+00:00
ACJ,Anuradhapura Airport,Anuradhapura,Sri Lanka,Asia,UTC+05:30
ACK,Nantucket Memorial Airport,Nantucket,United States,North America,UTC−05:00
ACL,Aguaclara Airport,Aguaclara,Colombia,South America,UTC−05:00
ACM,Arica Airport,Arica,Colombia,South America,UTC−05:00
ACN,Ciudad Acuña International Airport,Ciudad Acuña,Mexico,North America,UTC−06:00
ACP,Sahand Airport,Maragheh,Iran,Asia,UTC+03:30
ACR,Araracuara Airport,Araracuara,Colombia,South America,UTC−05:00
ACS,Achinsk Airport,Achinsk,Russia,Asia,UTC+07:00
ACT,Waco Regional Airport,Waco,United States,North America,UTC−06:00
ACU,Achutupo Airport,Achutupo,Panama,North America,UTC−05:00
ACV,Arcata-Eureka Airport,Eureka / Arcata,United States,North America,UTC−08:00
ACX,Xingyi Wanfenglin Airport,Xingyi,China,Asia,UTC+08:00
ACY,Atlantic City International Airport,Atlantic City,United States,North America,UTC−05:00
ACZ,Zabol Airport,Zabol,Iran,Asia,UTC+03:30
ADA,Adana Şakirpaşa Airport,Adana,Turkey,Asia,UTC+03:00
ADB,Adnan Menderes Airport,İzmir,Turkey,Asia,UTC+03:00
ADC,Andakombe Airport,Andakombe,Papua New Guinea,Oceania,UTC+10:00
ADD,Bole International Airport,Addis Ababa,Ethiopia,Africa,UTC+03:00
ADE,Aden International Airport,Aden,Yemen,Asia,UTC+03:00
ADF,Adıyaman Airport,Adıyaman,Turkey,Asia,UTC+03:00
ADG,Lenawee County Airport,Adrian,United States,North America,UTC−05:00
ADH,Aldan Airport,Aldan,Russia,Asia,UTC+09:00
ADI,Arandis Airport,Arandis,Namibia,Africa,UTC+01:00
ADJ,Amman Civil Airport,Amman,Jordan,Asia,UTC+02:00
ADK,Adak Airport,Adak Island,United States,North America,UTC−10:00
ADL,Adelaide Airport,Adelaide,Australia,Oceania,UTC+09:30
ADM,Ardmore Municipal Airport,Ardmore,United States,North America,UTC−06:00
ADN,Andes Airport,Andes,Colombia,South America,UTC−05:00
ADO,Andamooka Airport,Andamooka,Australia,Oceania,UTC+09:30
ADP,Ampara Airport,Ampara,Sri Lanka,Asia,UTC+05:30
ADQ,Kodiak Airport,Kodiak,United States,North America,UTC−09:00
ADR,Robert F. Swinnie Airport,Andrews,United States,North America,UTC−05:00
ADS,Addison Airport,Dallas,United States,North America,UTC−06:00
ADT,Ada Municipal Airport,Ada,United States,North America,UTC−06:00
ADU,Ardabil Airport,Ardabil,Iran,Asia,UTC+03:30
ADV,Ed Daein Airport,Ed Daein,Sudan,Africa,UTC+03:00
ADW,Andrews Field,Camp Springs,United States,North America,UTC−05:00
ADX,Leuchars Station,St Andrews,United Kingdom,Europe,UTC+00:00
ADY,Alldays Airport,Alldays,South Africa,Africa,UTC+02:00
ADZ,Gustavo Rojas Pinilla International Airport,San Andres Island,Colombia,South America,UTC−05:00
AEA,Abemama Atoll Airport,Abemama Atoll,Kiribati,Oceania,UTC+12:00
AEB,Baise Bama Airport,Baise,China,Asia,UTC+08:00
AEE,Adareil Airport,Adareil,South Sudan,Africa,UTC+03:00
AEG,Aek Godang Airport,Padang Sidempuan,Indonesia,Asia,UTC+07:00
AEH,Abéché Airport,Abéché,Chad,Africa,UTC+01:00
AEK,Aseki Airport,Aseki,Papua New Guinea,Oceania,UTC+10:00
AEL,Albert Lea Municipal Airport,Albert Lea,United States,North America,UTC−06:00
AEM,Amgu Airport,Amgu,Russia,Europe,UTC+10:00
AEO,Aioun el Atrouss Airport,Aioun el Atrouss,Mauritania,Africa,UTC+00:00
AEP,Jorge Newbery Airpark,Buenos Aires,Argentina,South America,UTC−03:00
AEQ,Ar Horqin Airport,Ar Horqin Banner,China,Asia,UTC+08:00
AER,Sochi International Airport,Sochi,Russia,Asia,UTC+03:00
AES,"Ålesund Airport, Vigra",Ålesund,Norway,Europe,UTC+01:00
AET,Allakaket Airport,Allakaket,United States,North America,UTC−09:00
AEU,Abu Musa Airport,Abu Musa Island,Iran,Asia,UTC+03:30
AEX,Alexandria International Airport,Alexandria,United States,North America,UTC−06:00
AEY,Akureyri Airport,Akureyri,Iceland,Europe,UTC+00:00
AFA,San Rafael Airport,San Rafael,Argentina,South America,UTC−03:00
AFD,Port Alfred Airport,Port Alfred,South Africa,Africa,UTC+02:00
AFF,United States Air Force Academy Airfield,Colorado Springs,United States,North America,UTC−07:00
AFI,Amalfi Airport,Amalfi,Colombia,South America,UTC−05:00
AFK,Kondavattavan Tank Seaplane Base,Ampara,Sri Lanka,Asia,UTC+05:30
AFL,Alta Floresta Airport,Alta Floresta,Brazil,South America,UTC−04:00
AFN,Jaffrey Airport–Silver Ranch,Jaffrey,United States,North America,UTC−05:00
AFO,Afton Municipal Airport,Afton,United States,North America,UTC−07:00
AFR,Afore Airstrip,Afore,Papua New Guinea,Oceania,UTC+10:00
AFS,Zarafshan Airport,Zarafshan,Uzbekistan,Asia,UTC+05:00
AFT,Afutara Airport,Afutara,Solomon Islands,Oceania,UTC+11:00
AFW,Fort Worth Alliance Airport,Fort Worth,United States,North America,UTC−06:00
AFY,Afyon Airport,Afyon,Turkey,Asia,UTC+03:00
AFZ,Sabzevar Airport,Sabzevar,Iran,Asia,UTC+03:30
AGA,Agadir–Al Massira Airport,Agadir,Morocco,Africa,UTC+00:00
AGB,Augsburg Airport,Augsburg,Germany,Europe,UTC+01:00
AGC,Allegheny County Airport,Pittsburgh,United States,North America,UTC−05:00
AGD,Anggi Airport,Anggi,Indonesia,Asia,UTC+09:00
AGE,Wangerooge Airfield,Wangerooge,Germany,Europe,UTC+01:00
AGF,Agen La Garenne Airport,Agen,France,Europe,UTC+01:00
AGG,Angoram Airport,Angoram,Papua New Guinea,Oceania,UTC+10:00
AGH,Ängelholm–Helsingborg Airport,Ängelholm,Sweden,Europe,UTC+01:00
AGI,Wageningen Airstrip,Wageningen,Suriname,South America,UTC−03:00
AGJ,Aguni Airport,Aguni,Japan,Asia,UTC+09:00
AGK,Kagua Airport,Kagua,Papua New Guinea,Oceania,UTC+10:00
AGL,Wanigela Airport,Wanigela,Papua New Guinea,Oceania,UTC+10:00
AGN,Angoon Seaplane Base,Angoon,United States,North America,UTC−09:00
AGO,Magnolia Municipal Airport,Magnolia,United States,North America,UTC−06:00
AGP,Málaga Airport,Málaga,Spain,Europe,UTC+01:00
AGQ,Agrinion Airport,Agrinion,Greece,Europe,UTC+02:00
AGR,Agra Airport,Agra,India,Asia,UTC+05:30
AGS,Augusta Regional Airport,Augusta,United States,North America,UTC−05:00
AGT,Guaraní International Airport,Ciudad del Este,Paraguay,South America,UTC−04:00
AGU,Lic. Jesús Terán Peredo International Airport,Aguascalientes,Mexico,North America,UTC−06:00
AGV,Oswaldo Guevara Mujica Airport,Acarigua,Venezuela,South America,UTC−04:00
AGW,Agnew Airport,Agnew,Australia,Oceania,UTC+10:00
AGX,Agatti Aerodrome,Agatti Island,India,Asia,UTC+05:30
AGZ,Aggeneys Airport,Aggeneys,South Africa,Africa,UTC+02:00
AHB,Abha Regional Airport,Abha,Saudi Arabia,Asia,UTC+03:00
AHC,Amedee Army Airfield,Herlong,United States,North America,UTC−08:00
AHD,Ardmore Downtown Executive Airport,Ardmore,United States,North America,UTC−06:00
AHE,Ahe Airport,Ahe,French Polynesia,Oceania,UTC−10:00
AHF,Arapahoe Municipal Airport,Arapahoe,United States,North America,UTC−06:00
AHH,Amery Municipal Airport,Amery,United States,North America,UTC−06:00
AHI,Amahai Airport,Amahai,Indonesia,Asia,UTC+09:00
AHJ,Hongyuan Airport,Hongyuan,China,Asia,UTC+08:00
AHL,Aishalton Airport,Aishalton,Guyana,South America,UTC−04:00
AHM,Ashland Municipal Airport,Ashland,United States,North America,UTC−08:00
AHN,Athens Ben Epps Airport,Athens,United States,North America,UTC−05:00
AHO,Alghero-Fertilia Airport,Alghero,Italy,Europe,UTC+01:00
AHS,Ahuas Airport,Ahuas,Honduras,North America,UTC−06:00
AHU,Cherif Al Idrissi Airport,Al Hoceima,Morocco,Africa,UTC+00:00
AHW,Saih Rawl Airport,Saih Rawl,Oman,Asia,UTC+04:00
AHY,Ambatolahy Airport,Ambatolahy,Madagascar,Africa,UTC+03:00
AHZ,Alpe d'Huez Airport,Alpe d'Huez,France,Europe,UTC+01:00
AIA,Alliance Municipal Airport,Alliance,United States,North America,UTC−07:00
AIC,Ailinglaplap Airok Airport,Airok,Marshall Islands,Oceania,UTC+12:00
AID,Anderson Municipal Airport,Anderson,United States,North America,UTC−05:00
AIE,Aiome Airport,Aiome,Papua New Guinea,Oceania,UTC+10:00
AIF,Assis Airport,Assis,Brazil,South America,UTC−03:00
AIG,Yalinga Airport,Yalinga,Central African Republic,Africa,UTC+01:00
AIH,Aiambak Airport,Aiambak,Papua New Guinea,Oceania,UTC+10:00
AII,Ali-Sabieh Airport,Ali Sabieh,Djibouti,Africa,UTC+03:00
AIK,Aiken Municipal Airport,Aiken,United States,North America,UTC−05:00
AIL,Ailigandí Airport,Ailigandí,Panama,North America,UTC−05:00
AIM,Ailuk Airport,Ailuk Atoll,Marshall Islands,Oceania,UTC+12:00
AIN,Wainwright Airport,Fort Wainwright,United States,North America,UTC−09:00
AIO,Atlantic Municipal Airport,Atlantic,United States,North America,UTC−06:00
AIP,Adampur Airport,Jalandhar,India,Asia,UTC+05:30
AIR,Aripuanã Airport,Aripuanã,Brazil,South America,UTC−04:00
AIS,Arorae Island Airport,Arorae Island,Kiribati,Oceania,UTC+12:00
AIT,Aitutaki Airport,Aitutaki,Cook Islands,Oceania,UTC−10:00
AIU,Enua Airport,Atiu Island,Cook Islands,Oceania,UTC−10:00
AIV,George Downer Airport,Aliceville,United States,North America,UTC−06:00
AIW,Ai-Ais Airport,Ai-Ais,Namibia,Africa,UTC+02:00
AIZ,Lee C. Fine Memorial Airport,Lake Ozark,United States,North America,UTC−06:00
AJA,Ajaccio Napoleon Bonaparte Airport,Ajaccio,France,Europe,UTC+01:00
AJF,Al-Jawf Domestic Airport,Sakakah,Saudi Arabia,Asia,UTC+03:00
AJI,Ağrı Airport,Ağrı,Turkey,Asia,UTC+03:00
AJJ,Akjoujt Airport,Akjoujt,Mauritania,Africa,UTC+00:00
AJK,Arak Airport,Arak,Iran,Asia,UTC+03:30
AJL,Lengpui Airport,Aizawl,India,Asia,UTC+05:30
AJN,Ouani Airport,Anjouan,Comoros,Africa,UTC+03:00
AJR,Arvidsjaur Airport,Arvidsjaur,Sweden,Europe,UTC+01:00
AJS,Punta Abreojos Airstrip,Punta Abreojos,Mexico,North America,UTC−07:00
AJU,Santa Maria Airport,Aracaju,Brazil,South America,UTC−03:00
AJY,Mano Dayak International Airport,Agadez,Niger,Africa,UTC+01:00
AKA,Ankang Wulipu Airport,Ankang,China,Asia,UTC+08:00
AKB,Atka Airport,Atka,United States,North America,UTC−10:00
AKC,Akron Fulton International Airport,Akron,United States,North America,UTC−05:00
AKD,Akola Airport,Akola,India,Asia,UTC+05:30
AKE,Akieni Airport,Akiéni,Gabon,Africa,UTC+01:00
AKF,Kufra Airport,Kufra,Libya,Africa,UTC+02:00
AKG,Anguganak Airport,Anguganak,Papua New Guinea,Oceania,UTC+10:00
AKH,Prince Sultan Air Base,Al-Kharj,Saudi Arabia,Asia,UTC+03:00
AKI,Akiak Airport,Akiak,United States,North America,UTC−09:00
AKJ,Asahikawa Airport,Asahikawa,Japan,Asia,UTC+09:00
AKK,Akhiok Airport,Akhiok,United States,North America,UTC−09:00
AKL,Auckland Airport,Auckland,New Zealand,Oceania,UTC+12:00
AKM,Zakouma Airport,Zakouma National Park,Chad,Africa,UTC+01:00
AKN,King Salmon Airport,King Salmon,United States,North America,UTC−09:00
AKO,Colorado Plains Regional Airport,Akron,United States,North America,UTC−07:00
AKP,Anaktuvuk Pass Airport,Anaktuvuk Pass,United States,North America,UTC−09:00
AKQ,Gunung Batin Airport,Astraksetra,Indonesia,Asia,UTC+07:00
AKR,Akure Airport,Akure,Nigeria,Africa,UTC+01:00
AKS,Auki Gwaunaru'u Airport,Auki,Solomon Islands,Oceania,UTC+11:00
AKT,RAF Akrotiri,Akrotiri,United Kingdom,Europe,UTC+02:00
AKU,Aksu Airport,Aksu,China,Asia,UTC+08:00
AKV,Akulivik Airport,Akulivik,Canada,North America,UTC−05:00
AKW,Aghajari Airport,Aghajari,Iran,Asia,UTC+03:30
AKX,Aktobe Airport,Aktobe,Kazakhstan,Asia,UTC+05:00
AKY,Sittwe Airport,Sittwe,Myanmar,Asia,UTC+06:30
ALA,Almaty International Airport,Almaty,Kazakhstan,Asia,UTC+06:00
ALB,Albany International Airport,Albany,United States,North America,UTC−05:00
ALC,Alicante–Elche Airport,Alicante,Spain,Europe,UTC+01:00
ALD,Alerta Airport,Alerta,Peru,South America,UTC−05:00
ALE,Alpine–Casparis Municipal Airport,Alpine,United States,North America,UTC−06:00
ALF,Alta Airport,Alta,Norway,Europe,UTC+01:00
ALG,Houari Boumediene Airport,Algiers,Algeria,Africa,UTC+01:00
ALH,Albany Airport,Albany,Australia,Oceania,UTC+08:00
ALI,Alice International Airport,Alice,United States,North America,UTC−06:00
ALJ,Alexander Bay Airport,Alexander Bay,South Africa,Africa,UTC+02:00
ALK,Asella Airport,Asella,Ethiopia,Africa,UTC+03:00
ALL,Albenga Airport,Albenga,Italy,Europe,UTC+01:00
ALM,Alamogordo–White Sands Regional Airport,Alamogordo,United States,North America,UTC−07:00
ALN,St. Louis Regional Airport,Alton,United States,North America,UTC−06:00
ALO,Waterloo Regional Airport,Waterloo,United States,North America,UTC−06:00
ALP,Aleppo International Airport,Aleppo,Syria,Asia,UTC+02:00
ALQ,Alegrete Airport,Alegrete,Brazil,South America,UTC−03:00
ALR,Alexandra Aerodrome,Alexandra,New Zealand,Oceania,UTC+12:00
ALS,San Luis Valley Regional Airport,Alamosa,United States,North America,UTC−07:00
ALT,Alenquer Airport,Alenquer,Brazil,South America,UTC−03:00
ALU,Alula Airport,Alula,Somalia,Africa,UTC+03:00
ALW,Walla Walla Regional Airport,Walla Walla,United States,North America,UTC−08:00
ALX,Thomas C. Russell Field,Alexander City,United States,North America,UTC−06:00
ALY,El Nouzha Airport,Alexandria,Egypt,Africa,UTC+02:00
ALZ,Alitak Seaplane Base,Lazy Bay,United States,North America,UTC−09:00
AMA,Rick Husband Amarillo International Airport,Amarillo,United States,North America,UTC−06:00
AMB,Ambilobe Airport,Ambilobe,Madagascar,Africa,UTC+03:00
AMC,Am Timan Airport,Am Timan,Chad,Africa,UTC+01:00
AMD,Sardar Vallabhbhai Patel International Airport,Ahmedabad,India,Asia,UTC+05:30
AME,Alto Molocue Airport,Alto Molocue,Mozambique,Africa,UTC+02:00
AMF,Ama Airport,Ama,Papua New Guinea,Oceania,UTC+10:00
AMG,Amboin Airport,Amboin,Papua New Guinea,Oceania,UTC+10:00
AMH,Arba Minch Airport,Arba Minch,Ethiopia,Africa,UTC+03:00
AMJ,Almenara Airport,Almenara,Brazil,South America,UTC−03:00
AMK,Animas Air Park,Durango,United States,North America,UTC−07:00
AML,Puerto Armuelles Airport,Puerto Armuelles,Panama,North America,UTC−05:00
AMM,Queen Alia International Airport,Amman,Jordan,Asia,UTC+02:00
AMN,Gratiot Community Airport,Alma,United States,North America,UTC−05:00
AMO,Mao Airport,Mao,Chad,Africa,UTC+01:00
AMP,Ampanihy Airport,Ampanihy,Madagascar,Africa,UTC+03:00
AMQ,Pattimura Airport,Ambon,Indonesia,Asia,UTC+09:00
AMS,Amsterdam Airport Schiphol,Amsterdam,Netherlands,Europe,UTC+01:00
AMT,Amata Airport,Amata,Australia,Oceania,UTC+09:30
AMU,Amanab Airport,Amanab,Papua New Guinea,Oceania,UTC+10:00
AMV,Amderma Airport,Amderma,Russia,Asia,UTC+03:00
AMW,Ames Municipal Airport,Ames,United States,North America,UTC−06:00
AMX,Ammaroo Airport,Ammaroo,Australia,Oceania,UTC+09:30
AMY,Ambatomainty Airport,Ambatomainty,Madagascar,Africa,UTC+03:00
AMZ,Ardmore Airport,Ardmore,New Zealand,Oceania,UTC+12:00
ANA,Angama Mara Airport,Angama Mara,Kenya,Africa,UTC+03:00
ANB,Anniston Regional Airport,Anniston,United States,North America,UTC−06:00
ANC,Ted Stevens Anchorage International Airport,Anchorage,United States,North America,UTC−09:00
AND,Anderson Regional Airport,Anderson,United States,North America,UTC−05:00
ANE,Angers – Loire Airport,Angers,France,Europe,UTC+01:00
ANF,Cerro Moreno International Airport,Antofagasta,Chile,South America,UTC−04:00
ANG,Angoulême – Cognac International Airport,Angoulême,France,Europe,UTC+01:00
ANI,Aniak Airport,Aniak,United States,North America,UTC−09:00
ANJ,Zanaga Airport,Zanaga,Republic of the Congo,Africa,UTC+01:00
ANK,Etimesgut Air Base,Ankara,Turkey,Asia,UTC+03:00
ANL,Andulo Airport,Andulo,Angola,Africa,UTC+01:00
ANM,Antsirabato Airport,Antalaha,Madagascar,Africa,UTC+03:00
ANN,Annette Island Airport,Annette Island,United States,North America,UTC−08:00
ANO,Angoche Airport,Angoche,Mozambique,Africa,UTC+02:00
ANP,Lee Airport,Annapolis,United States,North America,UTC−05:00
ANQ,Tri-State Steuben County Airport,Angola,United States,North America,UTC−05:00
ANR,Antwerp International Airport,Antwerp,Belgium,Europe,UTC+01:00
ANS,Andahuaylas Airport,Andahuaylas,Peru,South America,UTC−05:00
ANU,V. C. Bird International Airport,Antigua,Antigua and Barbuda,North America,UTC−04:00
ANV,Anvik Airport,Anvik,United States,North America,UTC−09:00
ANW,Ainsworth Regional Airport,Ainsworth,United States,North America,UTC−06:00
ANX,"Andøya Airport, Andenes",Andenes,Norway,Europe,UTC+01:00
ANY,Anthony Municipal Airport,Anthony,United States,North America,UTC−06:00
ANZ,Angus Downs Airport,Angus Downs,Australia,Oceania,UTC+09:30
AOA,Aroa Airport,Aroa,Papua New Guinea,Oceania,UTC+10:00
AOB,Annanberg Airport,Annanberg,Papua New Guinea,Oceania,UTC+10:00
AOC,Leipzig–Altenburg Airport,Altenburg,Germany,Europe,UTC+01:00
AOD,Abou-Deïa Airport,Abou-Deïa,Chad,Africa,UTC+01:00
AOE,Anadolu Airport,Eskişehir,Turkey,Asia,UTC+03:00
AOG,Anshan Teng'ao Airport,Anshan,China,Asia,UTC+08:00
AOH,Lima Allen County Airport,Lima,United States,North America,UTC−05:00
AOI,Ancona Falconara Airport,Ancona,Italy,Europe,UTC+01:00
AOJ,Aomori Airport,Aomori,Japan,Asia,UTC+09:00
AOK,Karpathos Island National Airport,Karpathos,Greece,Europe,UTC+02:00
AOL,Paso de los Libres Airport,Paso de los Libres,Argentina,South America,UTC−03:00
AOM,Adam Airport,Adam,Oman,Asia,UTC+04:00
AON,Arona Airport,Arona,Papua New Guinea,Oceania,UTC+10:00
AOO,Altoona–Blair County Airport,Altoona,United States,North America,UTC−05:00
AOP,Alférez FAP Alfredo Vladimir Sara Bauer Airport,Andoas,Peru,South America,UTC−05:00
AOR,Sultan Abdul Halim Airport,Alor Setar,Malaysia,Asia,UTC+08:00
AOS,Amook Bay Seaplane Base,Amook Bay,United States,North America,UTC−09:00
AOT,Aosta Valley Airport,Aosta,Italy,Europe,UTC+01:00
AOU,Attapeu International Airport,Attapeu,Laos,Asia,UTC+07:00
APA,Centennial Airport,Denver,United States,North America,UTC−07:00
APB,Apolo Airport,Apolo,Bolivia,South America,UTC−04:00
APC,Napa County Airport,Napa,United States,North America,UTC−08:00
APF,Naples Municipal Airport,Naples,United States,North America,UTC−05:00
APG,Phillips Army Airfield,Aberdeen Proving Ground,United States,North America,UTC−05:00
APH,A.P. Hill Army Airfield,Fort A.P. Hill,United States,North America,UTC−05:00
API,Captain Luis F. Gómez Niño Air Base,Apiay,Colombia,South America,UTC−05:00
APK,Apataki Airport,Apataki,French Polynesia,Oceania,UTC−10:00
APL,Nampula Airport,Nampula,Mozambique,Africa,UTC+02:00
APN,Alpena County Regional Airport,Alpena,United States,North America,UTC−05:00
APO,Antonio Roldán Betancourt Airport,Apartadó,Colombia,South America,UTC−05:00
APP,Asapa Airport,Asapa,Papua New Guinea,Oceania,UTC+10:00
APQ,Arapiraca Airport,Arapiraca,Brazil,South America,UTC−03:00
APR,April River Airport,April River,Papua New Guinea,Oceania,UTC+10:00
APS,Anápolis Airport,Anápolis,Brazil,South America,UTC−03:00
APT,Marion County Airport,Jasper,United States,North America,UTC−06:00
APU,Apucarana Airport,Apucarana,Brazil,South America,UTC−03:00
APV,Apple Valley Airport,Apple Valley,United States,North America,UTC−08:00
APW,Faleolo International Airport,Apia,Samoa,Oceania,UTC+13:00
APX,Arapongas Airport,Arapongas,Brazil,South America,UTC−03:00
APY,Alto Parnaíba Airport,Alto Parnaíba,Brazil,South America,UTC−03:00
APZ,Zapala Airport,Zapala,Argentina,South America,UTC−03:00
AQA,Araraquara Airport,Araraquara,Brazil,South America,UTC−03:00
AQB,Quiché Airport,Quiché,Guatemala,North America,UTC−06:00
AQG,Anqing Tianzhushan Airport,Anqing,China,Asia,UTC+08:00
AQI,Al Qaisumah/Hafr Al Batin Airport,Qaisumah,Saudi Arabia,Asia,UTC+03:00
AQJ,King Hussein International Airport,Aqaba,Jordan,Asia,UTC+02:00
AQM,Ariquemes Airport,Ariquemes,Brazil,South America,UTC−04:00
AQP,Rodríguez Ballón International Airport,Arequipa,Peru,South America,UTC−05:00
AQS,Saqani Airport,Saqani,Fiji,Oceania,UTC+12:00
AQY,Girdwood Airport,Girdwood,United States,North America,UTC−09:00
ARA,Acadiana Regional Airport,New Iberia,United States,North America,UTC−06:00
ARB,Ann Arbor Municipal Airport,Ann Arbor,United States,North America,UTC−05:00
ARC,Arctic Village Airport,Arctic Village,United States,North America,UTC−09:00
ARD,Alor Island Airport,Alor Island,Indonesia,Asia,UTC+08:00
ARE,Antonio (Nery) Juarbe Pol Airport,Arecibo,United States,North America,UTC−04:00
ARF,Acaricuara Airport,Acaricuara,Colombia,South America,UTC−05:00
ARG,Walnut Ridge Regional Airport,Walnut Ridge,United States,North America,UTC−06:00
ARH,Talagi Airport,Arkhangelsk,Russia,Asia,UTC+03:00
ARI,Chacalluta International Airport,Arica,Chile,South America,UTC−04:00
ARJ,Arso Airport,Arso,Indonesia,Asia,UTC+09:00
ARK,Arusha Airport,Arusha,Tanzania,Africa,UTC+03:00
ARL,Arly Airport,Arly,Burkina Faso,Africa,UTC+00:00
ARM,Armidale Airport,Armidale,Australia,Oceania,UTC+10:00
ARN,Stockholm Arlanda Airport,Stockholm,Sweden,Europe,UTC+01:00
ARO,Arboletes Airport,Arboletes,Colombia,South America,UTC−05:00
ARP,Aragip Airport,Aragip,Papua New Guinea,Oceania,UTC+10:00
ARQ,El Troncal Airport,Arauquita,Colombia,South America,UTC−05:00
ARR,Alto Río Senguer Airport,Alto Río Senguer,Argentina,South America,UTC−03:00
ARS,Aragarças Airport,Aragarças,Brazil,South America,UTC−03:00
ART,Watertown International Airport,Watertown,United States,North America,UTC−05:00
ARU,Araçatuba Airport,Araçatuba,Brazil,South America,UTC−03:00
ARV,Lakeland Airport,Minocqua,United States,North America,UTC−06:00
ARW,Arad International Airport,Arad,Romania,Europe,UTC+02:00
ARX,Aracati Airport,Aracati,Brazil,South America,UTC−03:00
ARY,Ararat Airport,Ararat,Australia,Oceania,UTC+10:00
ARZ,N'zeto Airport,N'zeto,Angola,Africa,UTC+01:00
ASA,Assab International Airport,Assab,Eritrea,Africa,UTC+03:00
